url,title,product,author,votes
https://community.conga.com/s/ideadetail?id=087Ub0000000E4bIAE,Ability for Conga to skip Pagebreak,Conga Composer,Dan John,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000E2zIAE,Field Expression precedence over manual changes,Configuration,Rajesh Mishra,3 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000BptIAE,Better Error Tracking when update button fails on Conga Solution,Conga Composer,Dan John,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BoHIAU,"Need composer to remove the string ""APXTConga4__"" on strings on the Advanced Configuration filter when creating a solution",Conga Composer,Dan John,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BmfIAE,Ability to show products with words matching strictly with the word provided in the search.,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Shubh Agrawal,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000Bl3IAE,Allow for Date Options in Agreement Documents Lightning Web Component,Conga CLM (fka Apttus CLM),Riley Humes,6 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000BjRIAU,Require new API for GEHC Renewals,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ);Configuration",Jai Patel,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BhpIAE,Requirement for Custom Decimal Precision in Deal Guidance,Pricing & Promotions,Vahhab Mumtaz Lakhani,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BgDIAU,Date Pickers Message When checking in the Document using XAC 2.0,X-Author for Contracts,Divya Dubey,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BebIAE,Allow Office 365 email template to override using admin entry,Conga CLM (fka Apttus CLM),Namir Ashraf,9 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000BczIAE,Use E-Mudra as an E-signature option on Salesforce using conga composer,Conga CLM (fka Apttus CLM),Prabhat Jha,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BbNIAU,Ability to use two or more string values for CSFirst/CSLast and CSName parameters,Conga Sign,Dhanie Bermas,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BZlIAM,Need Composer in a Lightning Package with Instrumentation Unlocked,Conga Contracts for salesforce;Conga Composer,Michael Overman TS,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BWXIA2,Make Envelope creation process for Conga docuSign package truly async,Conga CLM (fka Apttus CLM),Kshitij Lawate,4 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000BUvIAM,Administrative Controls for Contract Profiles,Conga Contracts,Joe Farrell,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BTJIA2,Ability to add charts and graphs,Conga Composer,Chaitanya Taneja,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BRhIAM,Enhance the /approveRequest API call to designate the actual approver,Conga Approvals (fka Apttus Intelligent Workflows and Approvals),Brian Gertsch,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000BQ5IAM,Setting to control Auto Approval of Invoices /  Credit Memo on Invoice Creation Screen,Conga Billing,Tirthak Kothari,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BOTIA2,Conga CLM- Agreements - Integration with Outbound Call Functionality,Conga Approvals (fka Apttus Intelligent Workflows and Approvals),Simran Singh,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BMrIAM,Ability to add usage price tiers in the favorite configuration,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Shubh Agrawal,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000BLFIA2,Optimize API Permissions for Enhanced Security,Conga Sign,Dan John,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BI1IAM,Option to separate merged Conga Templates to Attachment files,Conga Composer,Dhanie Bermas,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BGPIA2,Option to separate merged Conga Templates to Attachment files,Conga Composer,Dhanie Bermas,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BEnIAM,Expand Date Field to Date/Timestamp,Conga Contracts,Suzanne Barrickman,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BDBIA2,DocuSign Custom Field Values Populating in the DocuSign for Salesforce UI,Conga Composer,Atta Mmorosa,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000BBZIA2,Conga CLM-Protect Document - Encrypt with Password not allowing to check-in the document in XAC 2.0,Conga CLM (fka Apttus CLM);X-Author for Contracts,Akshay Bhujbal,8 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000B9xIAE,Conga Sign - hide/remove 'send now' button,Conga Sign,Simran Singh,
https://community.conga.com/s/ideadetail?id=087Ub0000000B8LIAU,Set the 'Consolidate Word or PDF output in a single file' checkbox to false or unchecked by default,Conga Batch,Maybeleen Matammu,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000B6jIAE,Prompt for Token Refresh,Conga Grid;Conga Batch;Conga Composer;Conga Sign;Conga Trigger,Maybeleen Matammu,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000B57IAE,Sort Cart page by product name,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Ryan Walls,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000B3VIAU,Return to Quote missing on Quote-Compose page,Conga Composer;Quoting,Nishil Desai,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000B1tIAE,Too many clicks to submit for approvals,Conga Approvals (fka Apttus Intelligent Workflows and Approvals),Nishil Desai,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000B0HIAU,"Need ""Show"" as action type in Constraint Rule Action",Configuration,Jai Patel,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000AyfIAE,Conga CLM: Allow Admins to add/remove or reorder columns on the Send For Signatures page.,Conga CLM (fka Apttus CLM),Harshit Solanki,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000Ax3IAE,Allow adding field of child object without section or table  feature in the future releases for XAC 2.0,Conga CLM (fka Apttus CLM);X-Author for Contracts,Divya Dubey,3 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000AvRIAU,Update the current character limit for parameter values.,Conga Composer,Austin Miller,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000AtpIAE,Filtering Send for Review email contacts only,Conga CLM (fka Apttus CLM),Simran Singh,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000AsDIAU,Support of API 61 to get data upto 5 level,X-Author for Contracts,Brijesh Mistry,4 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000AqbIAE,Move the processing of Favorite cart configuration and Copy Product features to Turbo,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Sejal Shetty,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000AozIAE,"Store, track and report on which templates were used to create agreement documents",Conga CLM (fka Apttus CLM);Conga Contracts,Ryan Walls,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000AnNIAU,Ability to complete orchestrate approval steps from the Salesforce mobile app,Conga Orchestrate,David Perez,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000AllIAE,"Excluding the ""Send for Review"" feature from the following admin entry (APTS_IncludePrimaryContact)",Conga CLM (fka Apttus CLM),Divya Dubey,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000Ak9IAE,Want to add rich text area field below or above other fields like lookup or text field in the same cell on the repeat table.,X-Author for Contracts,Manasvi V,1 Vote
